Start time,End time,Duration,Duration.1,Rental_Place,Return_Place,START LAT,START LONG,END LAT,END LONG
2018-01-05T17:35:00.000Z,2018-01-05T17:47:00.000Z,701,11.68,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",RAPLOCH COMMUNITY CAMPUS,56.14397,-3.92084,56.1298,-3.94921
2018-01-05T18:02:00.000Z,2018-01-05T18:09:00.000Z,471,7.85,TRAIN STATION,THE PEAK,56.11945,-3.93537,56.1182,-3.91407
2018-01-05T18:41:00.000Z,2018-01-05T18:47:00.000Z,373,6.22,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",BRIDGE OF ALLAN,56.14397,-3.92084,56.15297,-3.94723
2018-01-05T18:46:00.000Z,2018-01-05T19:02:00.000Z,964,16.07,OLD STIRLING BRIDGE,BRIDGE OF ALLAN,56.12954,-3.93506,56.15297,-3.94723
2018-01-05T19:15:00.000Z,2018-01-05T19:24:00.000Z,521,8.68,THE PEAK,TRAIN STATION,56.1182,-3.91407,56.11945,-3.93537
2018-01-05T19:15:00.000Z,2018-01-05T19:24:00.000Z,547,9.12,THE PEAK,THE PEAK,56.1182,-3.91407,56.1182,-3.91407
2018-01-05T22:25:00.000Z,2018-01-05T22:37:00.000Z,685,11.42,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",TRAIN STATION,56.14397,-3.92084,56.11945,-3.93537
2018-01-05T23:57:00.000Z,2018-01-06T00:06:00.000Z,567,9.45,OLD STIRLING BRIDGE,BRIDGE OF ALLAN,56.12954,-3.93506,56.15297,-3.94723
2018-01-06T03:35:00.000Z,2018-01-06T03:57:00.000Z,1323,22.05,TRAIN STATION,BRIDGE OF ALLAN,56.11945,-3.93537,56.15297,-3.94723
2018-01-06T09:11:00.000Z,2018-01-06T09:31:00.000Z,1230,20.5,BANNOCKBURN TOWN CENTRE,RAPLOCH COMMUNITY CAMPUS,56.09013,-3.91239,56.1298,-3.94921
2018-01-06T13:01:00.000Z,2018-01-06T13:12:00.000Z,667,11.12,"WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING",TRAIN STATION,56.14917,-3.92151,56.11945,-3.93537
2018-01-06T15:16:00.000Z,2018-01-06T15:51:00.000Z,2089,34.82,TRAIN STATION,CAUSEWAYHEAD ROUNDABOUT,56.11945,-3.93537,56.13829,-3.92392
2018-01-06T15:17:00.000Z,2018-01-06T15:18:00.000Z,103,1.72,TRAIN STATION,TRAIN STATION,56.11945,-3.93537,56.11945,-3.93537
2018-01-06T15:19:00.000Z,2018-01-06T15:51:00.000Z,1927,32.12,TRAIN STATION,CAUSEWAYHEAD ROUNDABOUT,56.11945,-3.93537,56.13829,-3.92392
2018-01-06T15:20:00.000Z,2018-01-06T15:51:00.000Z,1872,31.2,TRAIN STATION,CAUSEWAYHEAD ROUNDABOUT,56.11945,-3.93537,56.13829,-3.92392
2018-01-06T15:56:00.000Z,2018-01-06T16:06:00.000Z,599,9.98,BORESTONE ROUNDABOUT,PORT STREET,56.10034,-3.93702,56.11538,-3.93741
2018-01-06T17:35:00.000Z,2018-01-06T17:51:00.000Z,979,16.32,"WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING",OLD STIRLING BRIDGE,56.14917,-3.92151,56.12954,-3.93506
2018-01-06T17:35:00.000Z,2018-01-06T17:51:00.000Z,983,16.38,"WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING",OLD STIRLING BRIDGE,56.14917,-3.92151,56.12954,-3.93506
2018-01-06T17:35:00.000Z,2018-01-06T17:51:00.000Z,918,15.3,"WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING",OLD STIRLING BRIDGE,56.14917,-3.92151,56.12954,-3.93506
2018-01-06T19:11:00.000Z,2018-01-06T19:31:00.000Z,1201,20.02,BRIDGE OF ALLAN,OLD STIRLING BRIDGE,56.15297,-3.94723,56.12954,-3.93506
2018-01-06T19:26:00.000Z,2018-01-06T19:37:00.000Z,660,11,OLD STIRLING BRIDGE,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",56.12954,-3.93506,56.14397,-3.92084
2018-01-07T10:22:00.000Z,2018-01-07T10:27:00.000Z,254,4.23,"WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING","ALEXANDER COURT RESIDENCES, UNIVERSITY OF STIRLING",56.14917,-3.92151,56.14893,-3.9066
2018-01-07T11:24:00.000Z,2018-01-07T11:34:00.000Z,565,9.42,TRAIN STATION,THE PEAK,56.11945,-3.93537,56.1182,-3.91407
2018-01-07T12:51:00.000Z,2018-01-07T13:09:00.000Z,1065,17.75,TRAIN STATION,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",56.11945,-3.93537,56.14397,-3.92084
2018-01-07T15:53:00.000Z,2018-01-07T16:11:00.000Z,1090,18.17,TRAIN STATION,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",56.11945,-3.93537,56.14397,-3.92084
2018-01-07T15:57:00.000Z,2018-01-07T16:10:00.000Z,782,13.03,FORTH VALLEY COLLEGE,TRAIN STATION,56.133,-3.96113,56.11945,-3.93537
2018-01-07T17:41:00.000Z,2018-01-07T17:51:00.000Z,552,9.2,TRAIN STATION,OLD STIRLING BRIDGE,56.11945,-3.93537,56.12954,-3.93506
