start_time,end_time,duration,duration_mins,rental_place,return_place,start_lat,start_long,end_lat,end_long,trip_duration_minutes,year,month,hour,weekday,is_peak_hour,is_weekend
2018-01-05 09:29:00+00:00,2018-01-05 09:38:00+00:00,571,9.52,BRIDGE OF ALLAN,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",56.15297,-3.94723,56.14397,-3.92084,9,2018,1,9,Friday,1,0
2018-01-05 09:36:00+00:00,2018-01-05 09:47:00+00:00,701,11.68,BRIDGE OF ALLAN,OLD STIRLING BRIDGE,56.15297,-3.94723,56.12954,-3.93506,11,2018,1,9,Friday,1,0
2018-01-05 10:24:00+00:00,2018-01-05 10:31:00+00:00,437,7.28,THE PEAK,TRAIN STATION,56.1182,-3.91407,56.11945,-3.93537,7,2018,1,10,Friday,0,0
2018-01-05 10:34:00+00:00,2018-01-05 10:50:00+00:00,985,16.42,BORESTONE ROUNDABOUT,TRAIN STATION,56.10034,-3.93702,56.11945,-3.93537,16,2018,1,10,Friday,0,0
2018-01-05 11:38:00+00:00,2018-01-05 11:47:00+00:00,570,9.5,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",BRIDGE OF ALLAN,56.14397,-3.92084,56.15297,-3.94723,9,2018,1,11,Friday,0,0
2018-01-05 12:51:00+00:00,2018-01-05 13:11:00+00:00,1186,19.77,CASTLE BUSINESS PARK / LOMOND COURT,CASTLE BUSINESS PARK / LOMOND COURT,56.1282,-3.96029,56.1282,-3.96029,20,2018,1,12,Friday,0,0
2018-01-05 13:47:00+00:00,2018-01-05 13:56:00+00:00,552,9.2,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",CAUSEWAYHEAD ROUNDABOUT,56.14397,-3.92084,56.13829,-3.92392,9,2018,1,13,Friday,0,0
2018-01-05 15:51:00+00:00,2018-01-05 15:52:00+00:00,38,0.63,TRAIN STATION,TRAIN STATION,56.11945,-3.93537,56.11945,-3.93537,1,2018,1,15,Friday,0,0
2018-01-05 15:53:00+00:00,2018-01-05 16:11:00+00:00,1087,18.12,TRAIN STATION,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",56.11945,-3.93537,56.14397,-3.92084,18,2018,1,15,Friday,0,0
2018-01-05 16:21:00+00:00,2018-01-05 16:33:00+00:00,711,11.85,CASTLE BUSINESS PARK / LOMOND COURT,TRAIN STATION,56.1282,-3.96029,56.11945,-3.93537,12,2018,1,16,Friday,1,0
2018-01-05 16:46:00+00:00,2018-01-05 16:57:00+00:00,662,11.03,CASTLE BUSINESS PARK / LOMOND COURT,TRAIN STATION,56.1282,-3.96029,56.11945,-3.93537,11,2018,1,16,Friday,1,0
2018-01-05 17:03:00+00:00,2018-01-05 17:10:00+00:00,439,7.32,THE PEAK,TRAIN STATION,56.1182,-3.91407,56.11945,-3.93537,7,2018,1,17,Friday,1,0
2018-01-05 17:35:00+00:00,2018-01-05 17:47:00+00:00,701,11.68,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",RAPLOCH COMMUNITY CAMPUS,56.14397,-3.92084,56.1298,-3.94921,12,2018,1,17,Friday,1,0
2018-01-05 18:02:00+00:00,2018-01-05 18:09:00+00:00,471,7.85,TRAIN STATION,THE PEAK,56.11945,-3.93537,56.1182,-3.91407,7,2018,1,18,Friday,1,0
2018-01-05 18:41:00+00:00,2018-01-05 18:47:00+00:00,373,6.22,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",BRIDGE OF ALLAN,56.14397,-3.92084,56.15297,-3.94723,6,2018,1,18,Friday,1,0
2018-01-05 18:46:00+00:00,2018-01-05 19:02:00+00:00,964,16.07,OLD STIRLING BRIDGE,BRIDGE OF ALLAN,56.12954,-3.93506,56.15297,-3.94723,16,2018,1,18,Friday,1,0
2018-01-05 19:15:00+00:00,2018-01-05 19:24:00+00:00,521,8.68,THE PEAK,TRAIN STATION,56.1182,-3.91407,56.11945,-3.93537,9,2018,1,19,Friday,0,0
2018-01-05 19:15:00+00:00,2018-01-05 19:24:00+00:00,547,9.12,THE PEAK,THE PEAK,56.1182,-3.91407,56.1182,-3.91407,9,2018,1,19,Friday,0,0
2018-01-05 22:25:00+00:00,2018-01-05 22:37:00+00:00,685,11.42,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",TRAIN STATION,56.14397,-3.92084,56.11945,-3.93537,12,2018,1,22,Friday,0,0
2018-01-05 23:57:00+00:00,2018-01-06 00:06:00+00:00,567,9.45,OLD STIRLING BRIDGE,BRIDGE OF ALLAN,56.12954,-3.93506,56.15297,-3.94723,9,2018,1,23,Friday,0,0
2018-01-06 03:35:00+00:00,2018-01-06 03:57:00+00:00,1323,22.05,TRAIN STATION,BRIDGE OF ALLAN,56.11945,-3.93537,56.15297,-3.94723,22,2018,1,3,Saturday,0,1
2018-01-06 09:11:00+00:00,2018-01-06 09:31:00+00:00,1230,20.5,BANNOCKBURN TOWN CENTRE,RAPLOCH COMMUNITY CAMPUS,56.09013,-3.91239,56.1298,-3.94921,20,2018,1,9,Saturday,1,1
2018-01-06 13:01:00+00:00,2018-01-06 13:12:00+00:00,667,11.12,"WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING",TRAIN STATION,56.14917,-3.92151,56.11945,-3.93537,11,2018,1,13,Saturday,0,1
2018-01-06 15:16:00+00:00,2018-01-06 15:51:00+00:00,2089,34.82,TRAIN STATION,CAUSEWAYHEAD ROUNDABOUT,56.11945,-3.93537,56.13829,-3.92392,35,2018,1,15,Saturday,0,1
2018-01-06 15:17:00+00:00,2018-01-06 15:18:00+00:00,103,1.72,TRAIN STATION,TRAIN STATION,56.11945,-3.93537,56.11945,-3.93537,1,2018,1,15,Saturday,0,1
2018-01-06 15:19:00+00:00,2018-01-06 15:51:00+00:00,1927,32.12,TRAIN STATION,CAUSEWAYHEAD ROUNDABOUT,56.11945,-3.93537,56.13829,-3.92392,32,2018,1,15,Saturday,0,1
